Algorithm	Dataset	Relevance	Recovery
UniBic narrow_100_10_data1.txt 0.0625188555944 0.794753086419753
ISA narrow_100_10_data1.txt 0.236656675429658 0.43065224478837
QUBIC narrow_100_10_data1.txt 0.00828211866146794 0.0297385620915033
OPSM narrow_100_10_data1.txt 0.522393591695337 0.713464052287582
BicPAMS narrow_100_10_data1.txt 0.242521685730196 0.482872364281522
FABIA narrow_100_10_data1.txt 0.0579467403183104 0.0799089378634833
UniBic narrow_100_10_data2.txt 0.0605030844761836 0.547278265382786
ISA narrow_100_10_data2.txt 0.268099165641239 0.461812637933472
QUBIC narrow_100_10_data2.txt 0.0117998830923002 0.03274696401679
OPSM narrow_100_10_data2.txt 0.472196994687027 0.955763997452377
BicPAMS narrow_100_10_data2.txt 0.26647847662503 0.469141244930347
FABIA narrow_100_10_data2.txt 0.0432172447758096 0.0610968777755005
UniBic narrow_100_10_data3.txt 0.0509832688938163 0.503950635990942
ISA narrow_100_10_data3.txt 0.203638188477873 0.477991452991453
QUBIC narrow_100_10_data3.txt 0.0156447136365414 0.0329075260467223
OPSM narrow_100_10_data3.txt 0.474502970671632 0.69131664719267
BicPAMS narrow_100_10_data3.txt 0.24676801612521 0.491947334391348
FABIA narrow_100_10_data3.txt 0.0418711363380915 0.0424765807962529
UniBic narrow_100_20_data1.txt 0.0707091061122552 0.99
ISA narrow_100_20_data1.txt 0.219620994288057 0.819102297501169
QUBIC narrow_100_20_data1.txt 0.0161493194314575 0.11873786407767
OPSM narrow_100_20_data1.txt 0.583956390189189 0.97459612775928
BicPAMS narrow_100_20_data1.txt 0.609299896140946 0.857628831180773
FABIA narrow_100_20_data1.txt 0.340029141892858 0.475445395218255
UniBic narrow_100_20_data2.txt 0.0846693113783664 0.996666666666667
ISA narrow_100_20_data2.txt 0.176905501099905 0.839546623950294
QUBIC narrow_100_20_data2.txt 0.0188610949378699 0.118213656317088
OPSM narrow_100_20_data2.txt 0.587274065535564 0.980826654093981
BicPAMS narrow_100_20_data2.txt 0.621162087367324 0.860394992064892
FABIA narrow_100_20_data2.txt 0.323949139356219 0.504358974358974
UniBic narrow_100_20_data3.txt 0.0794878888704994 1
ISA narrow_100_20_data3.txt 0.205325403567734 0.79463241686693
QUBIC narrow_100_20_data3.txt 0.0178203285076328 0.115585323238206
OPSM narrow_100_20_data3.txt 0.598203482055979 0.765588558855886
BicPAMS narrow_100_20_data3.txt 0.609614774074021 0.813572837177399
FABIA narrow_100_20_data3.txt 0.323177884348947 0.484406154794504
UniBic narrow_100_30_data1.txt 0.0863251567020957 1
ISA narrow_100_30_data1.txt 0.135027814018802 0.771642548870272
QUBIC narrow_100_30_data1.txt 0.0287245226917547 0.178229470005824
OPSM narrow_100_30_data1.txt 0.597451737217446 0.668992383278098
BicPAMS narrow_100_30_data1.txt 0.874677266529096 0.986798679867987
FABIA narrow_100_30_data1.txt 0.429026867627785 0.7
UniBic narrow_100_30_data2.txt 0.0628273163100268 1
ISA narrow_100_30_data2.txt 0.156808799270265 0.82693316060578
QUBIC narrow_100_30_data2.txt 0.0323607608603155 0.181518151815182
OPSM narrow_100_30_data2.txt 0.623863233111283 0.698686371100164
BicPAMS narrow_100_30_data2.txt 0.848851915933856 0.953302752293578
FABIA narrow_100_30_data2.txt 0.438663747280877 0.651848184818482
UniBic narrow_100_30_data3.txt 0.074306381134335 1
ISA narrow_100_30_data3.txt 0.160764982916584 0.829512163095236
QUBIC narrow_100_30_data3.txt 0.0355178133633038 0.226797385620915
OPSM narrow_100_30_data3.txt 0.594439126413867 0.715516874268072
BicPAMS narrow_100_30_data3.txt 0.857072462298606 0.963820673900628
FABIA narrow_100_30_data3.txt 0.427406275140788 0.703333333333333
UniBic overlap_0_0_data1.txt 0.259900972391713 1
ISA overlap_0_0_data1.txt 0.164073597406931 0.761904761904762
QUBIC overlap_0_0_data1.txt 0.0629523809523809 0.2
OPSM overlap_0_0_data1.txt 0.430682986117769 0.594444444444444
BicPAMS overlap_0_0_data1.txt 0.888087119027907 0.909090909090909
FABIA overlap_0_0_data1.txt 0.589285714285714 0.968253968253968
UniBic overlap_0_0_data2.txt 0.273122624953245 1
ISA overlap_0_0_data2.txt 0.160613612570715 0.80952380952381
QUBIC overlap_0_0_data2.txt 0.0546450216450216 0.133333333333333
OPSM overlap_0_0_data2.txt 0.368367861033302 0.57631874298541
BicPAMS overlap_0_0_data2.txt 0.88959268930989 0.909090909090909
FABIA overlap_0_0_data2.txt 0.590513833992095 0.96969696969697
UniBic overlap_0_0_data3.txt 0.255620538881408 1
ISA overlap_0_0_data3.txt 0.195401773395769 0.857142857142857
QUBIC overlap_0_0_data3.txt 0.0724545454545453 0.216666666666667
OPSM overlap_0_0_data3.txt 0.409183023942749 0.478236083165661
BicPAMS overlap_0_0_data3.txt 0.889647143228456 0.909090909090909
FABIA overlap_0_0_data3.txt 0.5995670995671 0.984126984126984
UniBic overlap_0_0_data4.txt 0.249217904708109 1
ISA overlap_0_0_data4.txt 0.172987938785353 0.825396825396825
QUBIC overlap_0_0_data4.txt 0.0730714285714284 0.166666666666667
OPSM overlap_0_0_data4.txt 0.363432556712896 0.430894544052439
BicPAMS overlap_0_0_data4.txt 0.884963895570155 0.909090909090909
FABIA overlap_0_0_data4.txt 0.608333333333333 0.984126984126984
UniBic overlap_0_0_data5.txt 0.263892810088462 1
ISA overlap_0_0_data5.txt 0.176177694664632 0.857142857142857
QUBIC overlap_0_0_data5.txt 0.0647186147186146 0.2
OPSM overlap_0_0_data5.txt 0.391030813606064 0.429250772867794
BicPAMS overlap_0_0_data5.txt 0.891148564070083 0.909090909090909
FABIA overlap_0_0_data5.txt 0.626915113871636 1
UniBic overlap_3_3_data1.txt 0.299121212121212 1
ISA overlap_3_3_data1.txt 0.276077429994481 0.884920634920635
QUBIC overlap_3_3_data1.txt 0.0771190476190475 0.15
OPSM overlap_3_3_data1.txt 0.397538292660476 0.572946859903382
BicPAMS overlap_3_3_data1.txt 0.863966295842881 0.909090909090909
FABIA overlap_3_3_data1.txt 0.598809523809524 0.984126984126984
UniBic overlap_3_3_data2.txt 0.291810230585741 1
ISA overlap_3_3_data2.txt 0.197005287011891 0.788095238095238
QUBIC overlap_3_3_data2.txt 0.0708809523809523 0.183333333333333
OPSM overlap_3_3_data2.txt 0.395551509492686 0.530392156862745
BicPAMS overlap_3_3_data2.txt 0.869464814480914 0.881422924901186
FABIA overlap_3_3_data2.txt 0.58847619047619 0.967460317460317
UniBic overlap_3_3_data3.txt 0.269148042762706 1
ISA overlap_3_3_data3.txt 0.180338222114664 0.806349206349206
QUBIC overlap_3_3_data3.txt 0.0669047619047618 0.116666666666667
OPSM overlap_3_3_data3.txt 0.377887881368733 0.433471974648445
BicPAMS overlap_3_3_data3.txt 0.87211646251505 0.909090909090909
FABIA overlap_3_3_data3.txt 0.607900432900433 0.984126984126984
UniBic overlap_3_3_data4.txt 0.286148555218764 1
ISA overlap_3_3_data4.txt 0.178232992497698 0.754761904761905
QUBIC overlap_3_3_data4.txt 0.0709783549783549 0.1
OPSM overlap_3_3_data4.txt 0.431754040091103 0.441483516483516
BicPAMS overlap_3_3_data4.txt 0.86519791514993 0.909090909090909
FABIA overlap_3_3_data4.txt 0.59952380952381 0.983333333333333
UniBic overlap_3_3_data5.txt 0.2737249313813 1
ISA overlap_3_3_data5.txt 0.219691890463775 0.770634920634921
QUBIC overlap_3_3_data5.txt 0.0633614718614719 0.15
OPSM overlap_3_3_data5.txt 0.375501629254274 0.389086264948334
BicPAMS overlap_3_3_data5.txt 0.842444303853176 0.909090909090909
FABIA overlap_3_3_data5.txt 0.607467532467532 0.968253968253968
UniBic overlap_6_6_data1.txt 0.371737300541648 0.968253968253968
ISA overlap_6_6_data1.txt 0.162994364104136 0.888888888888889
QUBIC overlap_6_6_data1.txt 0.0845043290043289 0.133333333333333
OPSM overlap_6_6_data1.txt 0.363247121895922 0.523502798865118
BicPAMS overlap_6_6_data1.txt 0.780506872438365 0.840628507295174
FABIA overlap_6_6_data1.txt 0.558 0.916666666666667
UniBic overlap_6_6_data2.txt 0.291934137722181 1
ISA overlap_6_6_data2.txt 0.155465266940161 0.825396825396825
QUBIC overlap_6_6_data2.txt 0.0724999999999999 0.166666666666667
OPSM overlap_6_6_data2.txt 0.325665914324274 0.478697318007663
BicPAMS overlap_6_6_data2.txt 0.809774787007867 0.881422924901186
FABIA overlap_6_6_data2.txt 0.569215132693394 0.919047619047619
UniBic overlap_6_6_data3.txt 0.334924627414746 1
ISA overlap_6_6_data3.txt 0.210474638573378 0.825396825396825
QUBIC overlap_6_6_data3.txt 0.0840281385281385 0.15
OPSM overlap_6_6_data3.txt 0.391419074990815 0.389129389129389
BicPAMS overlap_6_6_data3.txt 0.830509142895783 0.859393939393939
FABIA overlap_6_6_data3.txt 0.597440240918502 0.920634920634921
UniBic overlap_6_6_data4.txt 0.339726561552213 0.983333333333333
ISA overlap_6_6_data4.txt 0.229111937671243 0.857142857142857
QUBIC overlap_6_6_data4.txt 0.0625021645021644 0.133333333333333
OPSM overlap_6_6_data4.txt 0.372235050063165 0.519444444444444
BicPAMS overlap_6_6_data4.txt 0.839789880838792 0.909090909090909
FABIA overlap_6_6_data4.txt 0.597648033126294 0.968253968253968
UniBic overlap_6_6_data5.txt 0.341740837664751 1
ISA overlap_6_6_data5.txt 0.275282285653803 0.888888888888889
QUBIC overlap_6_6_data5.txt 0.0828831168831168 0.15
OPSM overlap_6_6_data5.txt 0.3585787330175 0.433333333333333
BicPAMS overlap_6_6_data5.txt 0.861530116406656 0.909090909090909
FABIA overlap_6_6_data5.txt 0.576333333333333 0.933333333333333
UniBic overlap_9_9_data1.txt 0.331275395533708 0.956521739130435
ISA overlap_9_9_data1.txt 0.158217138389992 0.873015873015873
QUBIC overlap_9_9_data1.txt 0.0805021645021644 0.15
OPSM overlap_9_9_data1.txt 0.351905307107507 0.45198799699925
BicPAMS overlap_9_9_data1.txt 0.825880424955639 0.895915678524374
FABIA overlap_9_9_data1.txt 0.37304347826087 0.621739130434783
UniBic overlap_9_9_data2.txt 0.30120625128505 0.984126984126984
ISA overlap_9_9_data2.txt 0.397159818228367 0.904761904761905
QUBIC overlap_9_9_data2.txt 0.0860238095238094 0.133333333333333
OPSM overlap_9_9_data2.txt 0.394485246093209 0.503235224493017
BicPAMS overlap_9_9_data2.txt 0.832255918765454 0.883838383838384
FABIA overlap_9_9_data2.txt 0.420522955305564 0.675230566534914
UniBic overlap_9_9_data3.txt 0.439262057781319 1
ISA overlap_9_9_data3.txt 0.237443725812183 0.888888888888889
QUBIC overlap_9_9_data3.txt 0.0770021645021644 0.166666666666667
OPSM overlap_9_9_data3.txt 0.361719416800578 0.48030303030303
